name,weight_class,SLpM,SApM,TDavg,Subavg,StrDef,TDDef,KDavg,AvgTime,StrAcc,TDAcc,KOw,Decw,Subw,Wins,Losses,score_power,score_strikingOffense,score_strikingDefense,score_wrestlingOffense,score_wrestlingDefense,score_jiujitsu,score_cardio,score_fightiq
Joshua Van,Flyweight,8.84,6.39,0.84,0.00,58,81,,12:26,57,64,8,6,2,16,2,,,,,,,,
Alexandre Pantoja,Flyweight,4.38,3.88,2.79,0.98,50,69,,11:56,50,48,8,10,12,30,6,,,,,,,,
Manel Kape,Flyweight,5.04,4.08,0.40,0.27,57,81,,11:08,56,30,14,3,5,22,7,,,,,,,,
Tatsuro Taira,Flyweight,2.94,2.44,3.12,1.56,47,45,,10:40,60,47,6,4,8,18,1,,,,,,,,
Brandon Royval,Flyweight,5.54,4.25,0.65,1.08,43,45,,11:33,42,75,4,4,9,17,9,,,,,,,,
Kyoji Horiguchi,Flyweight,3.77,2.13,1.61,0.11,64,61,,14:00,47,41,15,15,6,36,5,,,,,,,,
Lone'er Kavanagh,Flyweight,3.49,4.13,0.22,1.12,57,94,,13:24,49,45,4,5,1,10,1,,,,,,,,
Amir Albazi,Flyweight,2.47,3.88,1.18,0.44,59,63,,14:30,34,25,5,3,9,17,3,,,,,,,,
Brandon Moreno,Flyweight,3.84,3.64,1.36,0.40,60,65,,17:03,44,40,5,7,11,23,10,,,,,,,,
Petr Yan,Bantamweight,4.24,5.16,1.70,0.11,60,86,,17:38,55,49,7,12,1,20,5,,,,,,,,
Merab Dvalishvili,Bantamweight,4.42,2.80,5.97,0.35,54,76,,17:36,42,35,3,16,2,21,5,,,,,,,,
Umar Nurmagomedov,Bantamweight,3.86,1.86,4.03,0.24,61,79,,14:04,56,47,2,11,7,20,1,,,,,,,,
Sean O'Malley,Bantamweight,6.05,3.40,0.24,0.24,60,61,,11:32,61,43,12,6,1,19,3,,,,,,,,
Cory Sandhagen,Bantamweight,4.86,3.47,1.15,0.25,57,56,,14:43,45,35,8,7,3,18,6,,,,,,,,
Song Yadong,Bantamweight,4.42,3.94,0.78,0.14,55,74,,13:12,44,39,9,10,3,22,9,,,,,,,,
Deiveson Figueiredo,Bantamweight,2.63,3.47,1.61,1.22,50,58,,12:52,54,35,9,7,9,25,6,,,,,,,,
Mario Bautista,Bantamweight,5.30,3.98,1.91,0.85,55,56,,10:06,49,38,3,7,7,17,3,,,,,,,,
David Martinez,Bantamweight,4.82,2.90,0.60,0.00,69,100,,12:25,47,25,10,4,0,14,1,,,,,,,,
Alexander Volkanovski,Featherweight,5.99,3.31,1.63,0.20,59,69,,16:50,57,34,13,12,3,28,4,,,,,,,,
Movsar Evloev,Featherweight,3.91,2.80,4.78,0.19,61,61,,16:00,48,53,3,13,4,20,0,,,,,,,,
Diego Lopes,Featherweight,4.56,3.83,0.88,1.38,46,69,,11:58,48,50,11,4,12,27,8,,,,,,,,
Lerone Murphy,Featherweight,2.65,4.34,1.20,0.46,60,44,,14:48,51,54,8,9,0,17,1,,,,,,,,
Yair Rodriguez,Featherweight,4.65,3.78,0.71,0.64,53,59,,13:14,47,29,8,8,5,21,5,,,,,,,,
